ingress_pps,flow_mod_pps,pkt_out_pps,pkt_in_pps,rule_pps,egress_pps,expected_ingress,expected_flow_mod,expected_pkt_out
10.0266,10.0012,10.0013,11.0022,11.0000,9.7956,10.0000,10.0000,10.0000
10.0264,10.0013,99.1274,11.0167,10.9000,96.9611,10.0000,10.0000,100.0000
10.0255,10.0008,931.3106,11.0146,11.0000,911.0588,10.0000,10.0000,1000.0000
10.0266,98.4854,9.9745,11.0059,108.3000,9.7668,10.0000,100.0000,10.0000
10.0265,98.4772,98.4495,11.0164,107.8000,96.2931,10.0000,100.0000,100.0000
10.0269,98.4371,919.9917,11.0370,108.0500,899.8447,10.0000,100.0000,1000.0000
10.0268,864.8567,9.7425,11.0181,961.6000,9.5306,10.0000,1000.0000,10.0000
10.0254,862.8046,91.6459,11.0093,966.2750,89.6464,10.0000,1000.0000,100.0000
10.0266,866.4066,864.7727,11.0137,956.5750,845.9302,10.0000,1000.0000,1000.0000
99.7837,10.0003,10.0003,100.0900,10.9000,9.7955,100.0000,10.0000,10.0000
99.8438,9.9995,99.1320,100.2811,10.9000,96.9673,100.0000,10.0000,100.0000
99.7875,10.0016,929.9683,99.6435,10.9000,909.4541,100.0000,10.0000,1000.0000
99.8141,98.5113,9.9944,100.1787,107.8000,9.7823,100.0000,100.0000,10.0000
99.8080,98.5956,98.5941,100.1823,107.5000,96.4378,100.0000,100.0000,100.0000
99.8049,98.3508,916.9388,100.1576,107.4750,896.8498,100.0000,100.0000,1000.0000
99.8144,863.1704,9.6987,100.1674,954.0250,9.4851,100.0000,1000.0000,10.0000
99.7940,861.2484,91.2560,100.1122,950.3000,89.2690,100.0000,1000.0000,100.0000
99.8048,865.3715,862.9676,100.1349,954.2750,843.9682,100.0000,1000.0000,1000.0000
978.1829,9.9988,9.9989,972.4594,10.8750,9.7780,1000.0000,10.0000,10.0000
977.6287,9.9979,98.9271,972.5747,10.8000,96.7562,1000.0000,10.0000,100.0000
977.8659,9.9990,914.0858,972.4949,10.9000,893.9345,1000.0000,10.0000,1000.0000
977.6776,98.2908,9.9975,972.1275,106.8000,9.7790,1000.0000,100.0000,10.0000
978.4038,98.2423,98.3150,973.9997,106.9500,96.1409,1000.0000,100.0000,100.0000
998.2125,98.3094,899.5550,992.9832,106.9000,879.6376,1000.0000,100.0000,1000.0000
998.2030,837.9563,9.5780,965.7089,920.9250,9.3755,1000.0000,1000.0000,10.0000
998.2089,845.9804,92.1661,966.7919,932.1750,90.1392,1000.0000,1000.0000,100.0000
998.2180,847.3914,842.1304,964.3907,932.3250,823.4280,1000.0000,1000.0000,1000.0000
