ingress_pps,flow_mod_pps,pkt_out_pps,pkt_in_pps,rule_pps,egress_pps,expected_ingress,expected_flow_mod,expected_pkt_out
399.4482,378.8563,9.9256,33.6902,43.2000,7.3348,400.0000,400.0000,10.0000
399.4499,375.7800,95.5092,63.3297,51.3000,69.5070,400.0000,400.0000,100.0000
399.4330,374.6264,374.2793,57.5527,50.4000,264.0315,400.0000,400.0000,400.0000
399.4689,372.9257,623.6504,23.3861,51.7667,441.2335,400.0000,400.0000,700.0000
399.4773,369.5594,843.6394,86.5986,53.9500,571.5291,400.0000,400.0000,1000.0000
399.4602,656.9648,9.9248,11.3270,48.7000,4.3456,400.0000,700.0000,10.0000
399.3691,648.9778,96.6649,53.1295,44.5000,41.5625,400.0000,700.0000,100.0000
399.5245,645.5952,369.5092,21.3790,47.6000,162.5407,400.0000,700.0000,400.0000
399.4589,644.4830,643.3558,19.7181,53.5000,278.0672,400.0000,700.0000,700.0000
399.4914,634.3237,829.1159,38.5054,53.5500,360.2314,400.0000,700.0000,1000.0000
399.4590,917.5877,9.9426,27.3843,46.8000,3.1576,400.0000,1000.0000,10.0000
399.4490,916.9778,97.1549,34.4040,47.4000,30.6665,400.0000,1000.0000,100.0000
399.4113,910.6758,366.4916,37.6624,44.1000,115.9309,400.0000,1000.0000,400.0000
399.4151,904.4028,609.5634,45.2968,46.9000,191.6443,400.0000,1000.0000,700.0000
399.3984,897.9540,894.3637,43.1060,46.0500,279.1335,400.0000,1000.0000,1000.0000
697.3991,10.0012,10.0013,100.5770,11.5000,9.7927,700.0000,10.0000,10.0000
697.5216,9.9983,99.0846,100.7550,11.4750,96.8955,700.0000,10.0000,100.0000
697.4836,10.0012,386.6611,100.5773,11.7250,378.0791,700.0000,10.0000,400.0000
697.2546,10.0005,662.1871,100.5944,11.1000,647.4839,700.0000,10.0000,700.0000
697.2784,9.9990,927.4569,100.5586,11.2000,907.0068,700.0000,10.0000,1000.0000
697.4091,97.7567,9.9305,100.6664,58.3000,9.7232,700.0000,100.0000,10.0000
697.4255,97.7705,97.7289,100.4750,55.6750,95.5766,700.0000,100.0000,100.0000
697.4284,97.7372,380.0187,100.5132,58.0250,371.6087,700.0000,100.0000,400.0000
697.3225,97.5529,649.0332,100.5659,58.5500,634.8774,700.0000,100.0000,700.0000
697.4690,97.5998,904.5259,98.9196,55.0250,884.4356,700.0000,100.0000,1000.0000
697.2684,383.6786,9.9511,19.1210,47.8000,7.1386,700.0000,400.0000,10.0000
697.3689,375.1138,95.3032,65.9414,51.0000,68.8086,700.0000,400.0000,100.0000
698.1339,374.7432,374.1895,76.7414,54.1667,262.2373,700.0000,400.0000,400.0000
697.2861,375.6329,627.2065,74.0210,48.4500,424.2777,700.0000,400.0000,700.0000
697.3579,369.8886,844.6132,90.7578,56.4000,565.4293,700.0000,400.0000,1000.0000
697.3618,655.4266,9.9640,12.7343,57.5000,4.3172,700.0000,700.0000,10.0000
697.4162,654.9169,97.3031,12.6389,51.0000,42.6795,700.0000,700.0000,100.0000
697.2653,649.0744,371.7758,15.2892,55.2500,164.1859,700.0000,700.0000,400.0000
697.9649,643.3688,642.1523,45.7136,54.7500,276.9304,700.0000,700.0000,700.0000
697.9407,633.2815,825.4946,30.8943,56.7000,361.5319,700.0000,700.0000,1000.0000
698.2420,917.9178,9.9304,34.1291,42.8000,3.1009,700.0000,1000.0000,10.0000
697.5007,922.8129,97.7153,29.5540,47.0000,30.5182,700.0000,1000.0000,100.0000
697.2966,910.5502,366.5378,43.4509,42.0000,116.6351,700.0000,1000.0000,400.0000
697.2446,903.1219,608.9848,40.0579,49.2500,192.3475,700.0000,1000.0000,700.0000
697.5152,896.8346,893.4994,44.6483,50.9500,279.3612,700.0000,1000.0000,1000.0000
995.3150,10.0003,10.0006,100.5263,11.9250,9.7934,1000.0000,10.0000,10.0000
995.9000,10.0008,99.0925,100.2326,11.1000,96.9301,1000.0000,10.0000,100.0000
995.9566,9.9988,386.7483,100.6305,11.4750,378.1631,1000.0000,10.0000,400.0000
995.4439,10.0006,662.3945,100.5440,11.6500,647.7585,1000.0000,10.0000,700.0000
995.8154,10.0011,926.9583,100.4315,11.1000,906.5370,1000.0000,10.0000,1000.0000
995.5419,97.7556,9.9683,100.6843,54.8750,9.7463,1000.0000,100.0000,10.0000
996.6277,97.6851,97.7350,100.6306,58.3500,95.5836,1000.0000,100.0000,100.0000
995.7962,97.6845,380.0341,100.5812,55.5750,371.6040,1000.0000,100.0000,400.0000
995.3508,97.6230,649.0293,99.7763,58.6750,634.6723,1000.0000,100.0000,700.0000
995.3620,97.6214,904.5222,100.5924,55.5500,884.5641,1000.0000,100.0000,1000.0000
996.0623,376.1527,9.8770,74.2107,52.5333,7.1338,1000.0000,400.0000,10.0000
995.2720,375.7550,95.4162,44.4767,46.9500,69.4557,1000.0000,400.0000,100.0000
995.3678,374.7033,374.3760,63.8556,52.4000,269.6004,1000.0000,400.0000,400.0000
995.1622,372.7825,623.0311,64.6408,47.1667,433.5651,1000.0000,400.0000,700.0000
996.0758,370.4939,846.5017,82.1657,49.2000,573.5042,1000.0000,400.0000,1000.0000
995.2916,655.3337,9.9649,13.1427,61.2000,4.3457,1000.0000,700.0000,10.0000
995.3825,655.1294,97.3045,13.2972,51.1000,43.2503,1000.0000,700.0000,100.0000
995.5139,648.7881,371.7459,53.6448,51.8500,162.0180,1000.0000,700.0000,400.0000
995.4037,648.3927,647.1454,40.0444,47.4500,279.2923,1000.0000,700.0000,700.0000
995.3786,634.9478,820.0164,66.7127,51.5500,347.1828,1000.0000,700.0000,1000.0000
995.4104,924.8879,9.9847,32.4862,47.2000,3.1148,1000.0000,1000.0000,10.0000
995.7850,915.6996,97.0114,26.4704,45.5000,30.9573,1000.0000,1000.0000,100.0000
995.3403,910.8176,366.4388,36.9083,51.1000,116.1250,1000.0000,1000.0000,400.0000
995.3286,903.7497,609.6628,33.9911,48.8500,191.1772,1000.0000,1000.0000,700.0000
995.0648,896.7831,894.5486,38.0770,52.5000,278.2581,1000.0000,1000.0000,1000.0000
