ingress_pps,flow_mod_pps,pkt_out_pps,pkt_in_pps,rule_pps,egress_pps,expected_ingress,expected_flow_mod,expected_pkt_out
10.0288,10.0003,10.0007,11.0009,11.1000,9.7948,10.0000,10.0000,10.0000
10.0288,10.0010,99.1184,11.0123,11.4000,96.9506,10.0000,10.0000,100.0000
10.0288,9.9969,387.4436,10.9988,11.7750,378.9440,10.0000,10.0000,400.0000
10.0288,9.9958,664.3194,11.0815,10.8750,649.6846,10.0000,10.0000,700.0000
10.0287,9.9990,929.7256,11.0121,11.7250,909.3778,10.0000,10.0000,1000.0000
10.0287,97.8308,9.9457,11.0011,50.1000,9.7387,10.0000,100.0000,10.0000
10.0287,97.8297,97.7837,11.0115,53.3250,95.6313,10.0000,100.0000,100.0000
10.0287,97.6696,380.8292,11.0032,58.7250,372.4409,10.0000,100.0000,400.0000
10.0287,97.5186,650.5717,11.0063,55.4000,636.1856,10.0000,100.0000,700.0000
10.0287,97.3694,909.2883,11.0129,56.0250,889.2308,10.0000,100.0000,1000.0000
10.0286,373.0704,9.8252,10.9605,46.4000,7.5027,10.0000,400.0000,10.0000
10.0287,373.6802,94.7790,10.7488,51.4333,72.9382,10.0000,400.0000,100.0000
10.0287,373.3978,373.1292,10.8317,52.5333,274.3124,10.0000,400.0000,400.0000
10.0286,372.7872,622.8164,10.8540,52.2000,439.7078,10.0000,400.0000,700.0000
10.0288,371.7751,837.1020,10.8341,51.6000,567.9610,10.0000,400.0000,1000.0000
10.0287,649.5017,9.9647,9.8321,49.4500,4.5823,10.0000,700.0000,10.0000
10.0286,650.0369,96.7820,10.8801,46.6500,44.4805,10.0000,700.0000,100.0000
10.0286,640.0606,367.2392,10.9189,47.9500,167.2520,10.0000,700.0000,400.0000
10.0287,645.0178,643.9934,10.7195,52.9500,281.5775,10.0000,700.0000,700.0000
10.0287,635.7213,818.7281,10.7584,51.1500,357.5178,10.0000,700.0000,1000.0000
10.0287,918.0112,9.9586,7.9277,44.3000,3.2829,10.0000,1000.0000,10.0000
10.0287,917.3563,97.3175,10.7662,50.6000,31.9537,10.0000,1000.0000,100.0000
10.0287,909.5487,367.1140,10.9314,47.6000,119.6350,10.0000,1000.0000,400.0000
