64 0.001 630278.583134 1689.1466028
64 0.01 97341.0323601 346.534075202
64 0.1 10066.7343957 124.827506506
64 1 990.348314044 105.745714378
64 2 497.907193574 105.723826332
64 3 332.214376137 105.75052874
64 4 249.552800473 105.704229072
64 5 199.66292616 105.68905019
1500 0.001 82004.4512016 306.696647494
1500 0.01 82012.5216718 306.726831053
1500 0.1 10086.3492358 124.869003539
1500 1 990.489775719 105.662997247
1500 2 497.949355398 105.752886168
1500 3 332.331184225 105.73944295
1500 4 249.338001556 105.714069807
1500 5 199.549835026 105.727470347
