0.196	0
0.2038	0.0004
0.2041	0.0008
0.205	0.0013
0.206	0.0017
0.206	0.0021
0.206	0.0025
0.206	0.003
0.206	0.0034
0.206	0.0038
0.206	0.0042
0.206	0.0047
0.2069	0.0051
0.2069	0.0055
0.2069	0.0059
0.2069	0.0063
0.2069	0.0068
0.2069	0.0072
0.2069	0.0076
0.2079	0.008
0.2079	0.0085
0.2079	0.0089
0.2079	0.0093
0.2079	0.0097
0.2081	0.0102
0.2081	0.0106
0.2081	0.011
0.2089	0.0114
0.2089	0.0118
0.2089	0.0123
0.2089	0.0127
0.2089	0.0131
0.2091	0.0135
0.2098	0.014
0.21	0.0144
0.21	0.0148
0.21	0.0152
0.21	0.0157
0.21	0.0161
0.21	0.0165
0.211	0.0169
0.211	0.0173
0.211	0.0178
0.211	0.0182
0.211	0.0186
0.211	0.019
0.211	0.0195
0.212	0.0199
0.212	0.0203
0.212	0.0207
0.2122	0.0212
0.2129	0.0216
0.2129	0.022
0.2129	0.0224
0.2129	0.0228
0.2131	0.0233
0.2131	0.0237
0.2131	0.0241
0.2131	0.0245
0.2131	0.025
0.2131	0.0254
0.2139	0.0258
0.2139	0.0262
0.2139	0.0266
0.2139	0.0271
0.2139	0.0275
0.2141	0.0279
0.2141	0.0283
0.2141	0.0288
0.2141	0.0292
0.2141	0.0296
0.2141	0.03
0.2141	0.0305
0.2148	0.0309
0.2148	0.0313
0.2151	0.0317
0.2151	0.0321
0.2151	0.0326
0.2151	0.033
0.2151	0.0334
0.2151	0.0338
0.2151	0.0343
0.2151	0.0347
0.2151	0.0351
0.2151	0.0355
0.2151	0.036
0.216	0.0364
0.216	0.0368
0.216	0.0372
0.216	0.0376
0.216	0.0381
0.216	0.0385
0.216	0.0389
0.216	0.0393
0.216	0.0398
0.216	0.0402
0.216	0.0406
0.216	0.041
0.216	0.0415
0.216	0.0419
0.216	0.0423
0.216	0.0427
0.216	0.0431
0.216	0.0436
0.216	0.044
0.217	0.0444
0.217	0.0448
0.217	0.0453
0.217	0.0457
0.217	0.0461
0.217	0.0465
0.217	0.047
0.217	0.0474
0.217	0.0478
0.217	0.0482
0.2172	0.0486
0.2172	0.0491
0.2179	0.0495
0.2179	0.0499
0.2179	0.0503
0.2179	0.0508
0.2179	0.0512
0.2179	0.0516
0.2179	0.052
0.2179	0.0525
0.2179	0.0529
0.2179	0.0533
0.2179	0.0537
0.2182	0.0541
0.2182	0.0546
0.2182	0.055
0.2182	0.0554
