10.0269,9.9978,9.9979,10.9939,10,9.7777
10.0264,10.0004,99.1172,11.0759,10.05,96.9486
10.0272,10.0012,933.6539,10.999,10.075,913.2059
10.0264,98.5326,9.9924,10.9901,99.375,9.7805
10.0267,98.6117,98.5633,10.9978,99.375,96.427
10.0267,98.5384,924.7541,11.0112,99.325,904.5994
10.0266,865.5913,9.7157,10.9952,871.3,9.5162
10.0263,873.9871,92.4513,11.0634,883.8,90.4359
10.0266,871.853,870.3474,11.0118,882.275,851.4307
99.8049,10.0011,10.0012,100.1149,11,9.7974
99.8317,10,99.1054,100.1048,10,96.9452
99.8089,10.0013,931.1941,100.1352,10.25,910.7864
99.7918,98.5492,9.9857,99.9245,108.175,9.767
99.7759,98.6108,98.6034,100.1881,98.925,96.4537
99.8343,98.43,920.6552,100.1459,105.875,900.5571
99.8457,864.0083,9.69,100.1175,892.175,9.4855
99.8222,870.3886,92.4255,100.1937,881.25,90.4013
99.7871,867.7829,865.8144,100.1709,873.675,846.7056
978.1582,9.9995,9.9996,904.0406,11,9.7796
978.6612,10.0001,98.9632,902.1863,10.25,96.8139
977.7838,9.9975,914.5171,880.8708,10.25,894.334
977.8635,98.329,9.9859,872.72,100.9,9.7814
978.3491,98.2658,98.249,878.9194,105.7,96.1074
978.0494,98.1087,899.899,850.2248,105.475,880.0688
978.5954,846.8504,9.6387,695.5247,917.65,9.4299
978.9744,840.3971,91.9334,678.7071,921.975,89.926
979.6152,847.9036,842.3118,639.8571,940.05,823.8807
