ingress_pps,flow_mod_pps,pkt_out_pps,pkt_in_pps,rule_pps,egress_pps,expected_ingress,expected_flow_mod,expected_pkt_out
99.9972,98.8569,9.9887,98.6596,49.3000,9.7995,100.0000,100.0000,10.0000
99.9962,98.7586,29.8630,99.3791,48.3750,19.6362,100.0000,100.0000,30.0000
99.9991,98.7917,98.8203,98.9816,48.2000,11.3951,100.0000,100.0000,100.0000
99.9969,98.9611,311.7563,100.0120,50.6000,5.6984,100.0000,100.0000,320.0000
99.9969,98.9443,321.4071,99.9298,51.1000,5.5433,100.0000,100.0000,330.0000
99.9964,312.6610,9.9896,100.1997,51.1000,2.9118,100.0000,320.0000,10.0000
100.0002,312.5479,29.8871,96.0029,47.6000,3.0097,100.0000,320.0000,30.0000
99.9986,312.5821,98.9514,97.9254,47.5500,3.3459,100.0000,320.0000,100.0000
99.9899,312.7279,312.6827,99.2183,42.6000,4.1718,100.0000,320.0000,320.0000
99.9993,312.8034,313.8619,99.3543,47.8000,4.1717,100.0000,320.0000,330.0000
99.9998,322.1111,9.9899,99.2687,51.1000,2.9258,100.0000,330.0000,10.0000
100.0002,322.1860,29.9039,99.4370,47.4500,2.9678,100.0000,330.0000,30.0000
99.9933,321.9975,99.0850,97.2590,45.5000,3.3048,100.0000,330.0000,100.0000
99.9968,321.9947,312.1011,98.5263,51.1000,4.1159,100.0000,330.0000,320.0000
99.9965,322.4039,322.4485,98.6648,51.1000,4.2000,100.0000,330.0000,330.0000
319.6489,10.0027,10.0025,319.7629,10.4000,9.8127,320.0000,10.0000,10.0000
319.6677,10.0017,29.9494,319.8856,10.8000,29.3535,320.0000,10.0000,30.0000
319.6583,10.0018,99.2643,319.8033,10.3750,97.2775,320.0000,10.0000,100.0000
319.6805,10.0019,313.0720,255.5334,8.1667,7.9512,320.0000,10.0000,320.0000
319.6407,10.0026,322.6561,249.4687,7.9000,7.3519,320.0000,10.0000,330.0000
319.6548,29.9210,9.9998,318.6852,29.9500,9.8011,320.0000,30.0000,10.0000
319.6793,29.8919,29.9067,318.6688,30.7500,29.3192,320.0000,30.0000,30.0000
319.7108,29.9168,99.0203,193.4667,30.5500,9.3655,320.0000,30.0000,100.0000
319.6697,29.9334,312.8668,209.1791,18.9500,5.5437,320.0000,30.0000,320.0000
319.6643,29.9442,322.4360,212.5896,18.2500,5.6281,320.0000,30.0000,330.0000
319.7102,99.0493,9.9979,58.6837,48.9333,1.6661,320.0000,100.0000,10.0000
319.7407,99.0355,29.9062,85.1043,46.3500,1.9458,320.0000,100.0000,30.0000
