ingress_pps,flow_mod_pps,pkt_out_pps,pkt_in_pps,rule_pps,egress_pps,expected_ingress,expected_flow_mod,expected_pkt_out
10.0287,10.0007,10.0004,10.0279,11.1500,9.7931,10.0000,10.0000,10.0000
10.0286,10.0004,99.1210,10.0236,11.3000,96.9674,10.0000,10.0000,100.0000
10.0287,10.0007,387.4223,10.0284,10.9000,378.8907,10.0000,10.0000,400.0000
10.0288,9.9960,664.0081,10.0230,11.6500,649.3397,10.0000,10.0000,700.0000
10.0287,9.9949,930.4231,10.0332,11.5000,909.9599,10.0000,10.0000,1000.0000
10.0286,97.9544,9.9712,10.0285,58.2750,9.7500,10.0000,100.0000,10.0000
10.0287,97.7811,97.8405,10.0275,58.2000,95.6778,10.0000,100.0000,100.0000
10.0286,97.6116,380.7864,10.0271,55.6500,372.3691,10.0000,100.0000,400.0000
10.0288,97.4820,650.8756,10.0268,58.6500,636.4758,10.0000,100.0000,700.0000
10.0287,97.3985,909.7695,10.0343,58.2750,889.6827,10.0000,100.0000,1000.0000
10.0287,373.3133,9.8330,9.8968,49.2000,7.6277,10.0000,400.0000,10.0000
10.0288,372.6725,94.5627,9.9582,51.2333,73.2617,10.0000,400.0000,100.0000
10.0287,373.0068,372.6904,10.0030,49.0333,274.4660,10.0000,400.0000,400.0000
10.0287,372.7026,622.7999,10.0111,50.7000,441.0997,10.0000,400.0000,700.0000
10.0287,371.1890,842.1385,10.0125,50.9000,577.0783,10.0000,400.0000,1000.0000
10.0287,645.8347,9.8913,9.8930,47.3500,4.6088,10.0000,700.0000,10.0000
10.0287,643.3288,96.0347,9.8812,48.1000,44.7284,10.0000,700.0000,100.0000
10.0287,645.0220,370.1991,9.9940,52.9000,166.4859,10.0000,700.0000,400.0000
10.0287,643.3599,642.4554,9.8809,51.6000,280.4972,10.0000,700.0000,700.0000
10.0287,637.2612,812.7812,10.0070,50.2000,352.9313,10.0000,700.0000,1000.0000
10.0288,911.8493,9.9346,9.3979,49.1000,3.2836,10.0000,1000.0000,10.0000
10.0286,915.7705,97.2215,9.8990,46.1000,31.9342,10.0000,1000.0000,100.0000
10.0287,909.9449,367.3417,9.9429,54.9000,119.8795,10.0000,1000.0000,400.0000
10.0287,904.1951,612.3443,9.9876,47.6000,195.1978,10.0000,1000.0000,700.0000
10.0287,899.1694,896.2660,10.0045,49.4000,284.3092,10.0000,1000.0000,1000.0000
99.9940,10.0003,10.0003,100.0505,11.2000,9.7937,100.0000,10.0000,10.0000
