ingress_pps,flow_mod_pps,pkt_out_pps,pkt_in_pps,rule_pps,egress_pps,expected_ingress,expected_flow_mod,expected_pkt_out
396.9177,376.2850,9.8993,51.5585,48.8000,7.2525,400.0000,400.0000,10.0000
397.0001,376.0810,95.5206,44.5817,50.4500,69.5939,400.0000,400.0000,100.0000
396.9646,374.8790,374.4558,55.0215,47.0000,266.3190,400.0000,400.0000,400.0000
397.0608,373.0004,623.0436,56.3409,50.4000,437.0504,400.0000,400.0000,700.0000
397.1173,373.0516,849.6528,19.3475,49.4500,578.7157,400.0000,400.0000,1000.0000
397.3588,656.6265,9.9150,14.4364,51.9000,4.3724,400.0000,700.0000,10.0000
397.0424,653.5751,97.2553,11.3806,57.6000,42.6437,400.0000,700.0000,100.0000
396.8655,649.5450,372.1391,13.2377,48.9500,163.7611,400.0000,700.0000,400.0000
397.0444,646.5664,645.5467,41.6154,51.5000,279.0050,400.0000,700.0000,700.0000
396.8604,633.3974,819.6396,30.4163,50.5000,361.7648,400.0000,700.0000,1000.0000
396.9542,924.4266,9.9677,21.1085,48.1000,3.1574,400.0000,1000.0000,10.0000
397.0015,922.8207,97.7162,52.8551,47.5000,30.7520,400.0000,1000.0000,100.0000
397.1083,909.9343,366.5402,42.6000,44.6500,116.3924,400.0000,1000.0000,400.0000
396.9858,903.9416,611.0683,43.5417,48.3000,191.3745,400.0000,1000.0000,700.0000
396.9444,897.6429,894.9416,42.0240,48.9000,279.3971,400.0000,1000.0000,1000.0000
691.1641,10.0005,10.0006,101.1912,11.5000,9.7941,700.0000,10.0000,10.0000
692.2195,9.9988,99.0500,101.2246,11.0000,96.8914,700.0000,10.0000,100.0000
691.1611,10.0006,386.4807,101.2410,11.4500,377.9962,700.0000,10.0000,400.0000
691.6967,9.9999,661.3259,101.2117,11.1000,646.8766,700.0000,10.0000,700.0000
691.2971,10.0002,926.3878,101.1868,11.4750,906.0203,700.0000,10.0000,1000.0000
691.7506,97.8046,9.9584,101.2247,57.9750,9.7533,700.0000,100.0000,10.0000
691.2710,97.8510,97.8164,101.1864,56.1250,95.6798,700.0000,100.0000,100.0000
691.3431,97.5617,379.3557,101.5663,54.8250,370.9510,700.0000,100.0000,400.0000
691.6543,97.7238,648.1820,101.2001,58.3000,633.9161,700.0000,100.0000,700.0000
692.3565,97.6708,902.6453,101.2043,54.9250,882.7730,700.0000,100.0000,1000.0000
691.6351,383.7425,9.9409,21.8865,48.0500,7.2650,700.0000,400.0000,10.0000
691.1627,375.6004,95.4340,47.2502,48.2500,70.4579,700.0000,400.0000,100.0000
691.4242,374.7567,374.1916,55.0151,50.1500,265.9337,700.0000,400.0000,400.0000
690.8215,372.4857,621.4201,85.2990,49.1500,421.7262,700.0000,400.0000,700.0000
691.2101,369.1535,842.6077,88.2734,49.2500,570.7504,700.0000,400.0000,1000.0000
691.1732,654.9182,9.9411,13.0908,52.0000,4.3309,700.0000,700.0000,10.0000
691.4722,653.4611,97.2670,12.9810,57.2000,42.6513,700.0000,700.0000,100.0000
691.3019,648.7486,371.3143,15.7357,53.3000,163.6498,700.0000,700.0000,400.0000
692.0643,647.5015,646.4421,37.0427,54.3000,277.7511,700.0000,700.0000,700.0000
690.9942,632.6557,816.8075,53.1950,52.7000,351.9096,700.0000,700.0000,1000.0000
691.6222,916.1251,9.9592,24.2527,46.7000,3.0876,700.0000,1000.0000,10.0000
690.9992,917.1416,97.1950,26.0796,40.0000,30.7205,700.0000,1000.0000,100.0000
691.1822,910.6764,366.6352,31.7240,55.1000,115.4399,700.0000,1000.0000,400.0000
691.5929,902.5423,609.4382,40.9833,54.1000,191.7577,700.0000,1000.0000,700.0000
691.4330,896.9493,893.4784,40.7751,45.6500,279.3898,700.0000,1000.0000,1000.0000
978.4486,10.0005,10.0008,101.2289,12.0000,9.7931,1000.0000,10.0000,10.0000
979.3862,10.0002,99.0413,101.2056,11.7250,96.8470,1000.0000,10.0000,100.0000
978.4402,9.9993,386.4190,101.2286,11.1000,377.9339,1000.0000,10.0000,400.0000
978.4757,10.0006,661.2887,101.1903,11.4000,646.7450,1000.0000,10.0000,700.0000
979.5669,10.0001,926.2698,101.2155,11.5000,905.7648,1000.0000,10.0000,1000.0000
978.1514,97.7845,9.9469,101.1536,57.9750,9.7383,1000.0000,100.0000,10.0000
978.2766,97.7333,97.7787,101.2130,58.6750,95.6379,1000.0000,100.0000,100.0000
978.1596,97.6806,379.5968,101.1558,55.4000,371.3270,1000.0000,100.0000,400.0000
977.7052,97.6591,648.2055,101.1752,55.5250,633.9583,1000.0000,100.0000,700.0000
978.3653,97.6417,903.9652,101.1609,55.9000,884.0548,1000.0000,100.0000,1000.0000
978.1393,375.7979,9.8560,69.5112,54.4000,7.1396,1000.0000,400.0000,10.0000
979.6340,378.6484,96.0545,26.8718,50.8000,70.4524,1000.0000,400.0000,100.0000
978.7557,374.2924,373.7216,69.2563,47.4000,268.1785,1000.0000,400.0000,400.0000
979.2867,372.6917,622.5679,75.9254,47.9667,432.2911,1000.0000,400.0000,700.0000
977.6100,369.2717,842.9982,89.7303,50.0333,569.7097,1000.0000,400.0000,1000.0000
978.1750,655.2718,9.9310,12.4236,57.6000,4.2896,1000.0000,700.0000,10.0000
978.2352,654.1562,97.2202,12.5134,54.8000,42.7736,1000.0000,700.0000,100.0000
979.9276,649.4988,372.2457,15.9863,52.5500,163.2447,1000.0000,700.0000,400.0000
977.5231,647.6583,646.5381,19.0158,55.7500,278.4988,1000.0000,700.0000,700.0000
978.5243,632.6192,822.5251,46.3309,49.3000,360.9349,1000.0000,700.0000,1000.0000
977.9508,917.3785,9.9357,35.4417,48.4000,3.0881,1000.0000,1000.0000,10.0000
978.8932,915.5440,97.1250,29.4491,47.7000,31.1879,1000.0000,1000.0000,100.0000
979.0099,910.2102,366.4718,38.4501,49.5000,115.0684,1000.0000,1000.0000,400.0000
980.2308,903.6223,609.8526,42.3652,49.1500,191.4264,1000.0000,1000.0000,700.0000
978.5696,895.8552,892.4503,37.7086,44.7000,279.3608,1000.0000,1000.0000,1000.0000
