20130320003154,192.168.100.4,5001,192.168.100.3,55693,4,0.0-8.4,2097152000,1994310398
20130320003202,192.168.100.4,5001,192.168.100.3,55694,5,0.0-7.8,2097152000,2139346600
20130320003210,192.168.100.4,5001,192.168.100.3,55695,4,0.0-7.9,2097152000,2115299684
20130320003218,192.168.100.4,5001,192.168.100.3,55696,5,0.0-7.8,2097152000,2137511421
20130320003226,192.168.100.4,5001,192.168.100.3,55697,4,0.0-7.7,2097152000,2167796700
20130320003234,192.168.100.4,5001,192.168.100.3,55698,5,0.0-8.6,2097152000,1951435846
20130320003242,192.168.100.4,5001,192.168.100.3,55699,4,0.0-7.9,2097152000,2129411249
20130320003250,192.168.100.4,5001,192.168.100.3,55700,5,0.0-8.0,2097152000,2088197028
20130320003258,192.168.100.4,5001,192.168.100.3,55701,4,0.0-8.2,2097152000,2051461340
20130320003307,192.168.100.4,5001,192.168.100.3,55702,5,0.0-16.3,2097152000,1028125617
20130320003307,192.168.100.4,0,192.168.100.3,0,-9,0.0-16.3,4194304000,2056251235
20130320003315,192.168.100.4,5001,192.168.100.3,55703,6,0.0-8.3,2097152000,2029887122
20130320003323,192.168.100.4,5001,192.168.100.3,55704,4,0.0-7.9,2097152000,2122811215
20130320003332,192.168.100.4,5001,192.168.100.3,55705,5,0.0-8.9,2097152000,1874716427
20130320003340,192.168.100.4,5001,192.168.100.3,55706,4,0.0-8.4,2097152000,2000192422
20130320003348,192.168.100.4,5001,192.168.100.3,55707,5,0.0-7.9,2097152000,2124715670
20130320003356,192.168.100.4,5001,192.168.100.3,55708,4,0.0-8.1,2097152000,2060514759
20130320003405,192.168.100.4,5001,192.168.100.3,55709,5,0.0-8.7,2097152000,1917855961
20130320003413,192.168.100.4,5001,192.168.100.3,55710,4,0.0-7.9,2097152000,2137006911
20130320003421,192.168.100.4,5001,192.168.100.3,55711,5,0.0-7.9,2097152000,2117837447
20130320003429,192.168.100.4,5001,192.168.100.3,55712,4,0.0-7.9,2097152000,2131867869
20130320003437,192.168.100.4,5001,192.168.100.3,55713,5,0.0-7.9,2097152000,2133842080
20130320003445,192.168.100.4,5001,192.168.100.3,55714,4,0.0-7.8,2097152000,2159308227
20130320003453,192.168.100.4,5001,192.168.100.3,55715,5,0.0-8.6,2097152000,1948881803
20130320003501,192.168.100.4,5001,192.168.100.3,55716,4,0.0-8.0,2097152000,2088536265
20130320003509,192.168.100.4,5001,192.168.100.3,55717,5,0.0-7.7,2097152000,2167810986
20130320003517,192.168.100.4,5001,192.168.100.3,55718,4,0.0-8.1,2097152000,2081481824
20130320003525,192.168.100.4,5001,192.168.100.3,55719,5,0.0-7.9,2097152000,2123123640
20130320003533,192.168.100.4,5001,192.168.100.3,55720,4,0.0-7.9,2097152000,2128357444
20130320003541,192.168.100.4,5001,192.168.100.3,55721,5,0.0-8.1,2097152000,2073447569
20130320003549,192.168.100.4,5001,192.168.100.3,55722,4,0.0-7.9,2097152000,2120842875
20130320003557,192.168.100.4,5001,192.168.100.3,55723,5,0.0-8.0,2097152000,2104882972
20130320003605,192.168.100.4,5001,192.168.100.3,55724,4,0.0-7.8,2097152000,2159974590
20130320003613,192.168.100.4,5001,192.168.100.3,55725,5,0.0-8.0,2097152000,2085848007
20130320003622,192.168.100.4,5001,192.168.100.3,55726,4,0.0-8.7,2097152000,1919785424
20130320003630,192.168.100.4,5001,192.168.100.3,55727,5,0.0-7.9,2097152000,2112529365
20130320003638,192.168.100.4,5001,192.168.100.3,55728,4,0.0-7.8,2097152000,2144378450
